xflr5 v6.47											
											
Plane Name											
T1-10.0 m/s-Panel-Inviscid											
QInf  =	10	m/s									
Alpha = 	10										
Beta  = 	   0.000°										
Phi   = 	   0.000°										
Ctrl  = 	0										
CL    = 	1.216729										
Cy    = 	0										
Cd=	0.05105	ICd=	0.05105	PCd=	0						
Cl   = 	4.26E-16										
Cm   =	-1.55736										
ICn=	0	PCn=	0								
XCP=	10.816701	 YCP=	0	 ZCP=	1.021642						
XNP=	0										
Bending =	275043.0313										
											
Main Wing											
  y-span	Chord	Ai	Cl	PCd	ICd	CmGeom	CmAirf@chord/4	XTrtop	XTrBot	XCP	BM
213	1.68E+01	-2.84E+01	1.58E+00	0.003	0.013	1	1.01E+00	-1.3208			
214	1.74E+01	-2.84E+01	1.55E+00	0.097	0.052	0.994	1.05E+00	-1.0042			
215	1.80E+01	-2.84E+01	1.47E+00	0.163	0.077	0.984	1.03E+00	-0.6787			
216	1.86E+01	-2.84E+01	1.36E+00	0.204	0.092	0.975	9.45E-01	-0.3965			
217	1.91E+01	-2.84E+01	1.25E+00	0.222	0.098	0.97	8.03E-01	-0.1812			
218	1.95E+01	-2.84E+01	1.16E+00	0.226	0.099	0.969	6.10E-01	-0.0387			
219	1.98E+01	-2.84E+01	1.09E+00	0.24	0.103	0.965	3.82E-01	0.1191			
220	1.99E+01	-2.84E+01	1.05E+00	0.243	0.104	0.965	1.30E-01	0.2208			
Strip 9											
221	1.94E+01	-2.66E+01	9.82E-01	-0.128	-0.072	-0.989	1.53E-01	0.2855			
222	1.92E+01	-2.66E+01	1.00E+00	-0.109	-0.067	-0.992	4.48E-01	0.3517			
223	1.89E+01	-2.66E+01	1.01E+00	0.009	-0.032	-0.999	7.13E-01	0.3746			
224	1.85E+01	-2.66E+01	9.92E-01	0.073	-0.012	-0.997	9.42E-01	0.3352			
225	1.79E+01	-2.66E+01	9.39E-01	0.113	0.001	-0.994	1.12E+00	0.2883			
226	1.73E+01	-2.66E+01	8.66E-01	0.12	0.004	-0.993	1.23E+00	0.2446			
227	1.67E+01	-2.66E+01	7.93E-01	0.099	-0.005	-0.995	1.26E+00	0.2207			
228	1.60E+01	-2.66E+01	7.44E-01	0.049	-0.026	-0.998	1.22E+00	0.2426			
229	1.54E+01	-2.66E+01	7.32E-01	-0.012	-0.053	-0.999	1.11E+00	0.3266			
230	1.48E+01	-2.66E+01	7.53E-01	-0.072	-0.08	-0.994	9.44E-01	0.4647			
231	1.44E+01	-2.66E+01	7.99E-01	-0.141	-0.114	-0.984	7.24E-01	0.6464			
232	1.41E+01	-2.66E+01	8.62E-01	-0.284	-0.185	-0.941	4.72E-01	0.7571			
233	1.39E+01	-2.66E+01	9.37E-01	-0.654	-0.364	-0.663	2.26E-01	-0.24			
234	1.39E+01	-2.66E+01	1.05E+00	-0.8	-0.4	0.447	3.44E-01	-3.6753			
235	1.41E+01	-2.66E+01	1.19E+00	-0.486	-0.226	0.844	5.30E-01	-3.2098			
236	1.44E+01	-2.66E+01	1.33E+00	-0.321	-0.14	0.937	7.63E-01	-2.2086			
237	1.48E+01	-2.66E+01	1.45E+00	-0.206	-0.083	0.975	9.64E-01	-1.8159			
238	1.54E+01	-2.66E+01	1.53E+00	-0.101	-0.033	0.994	1.12E+00	-1.5751			
239	1.60E+01	-2.66E+01	1.56E+00	0.003	0.013	1	1.22E+00	-1.3205			
240	1.67E+01	-2.66E+01	1.53E+00	0.097	0.052	0.994	1.26E+00	-1.0059			
241	1.73E+01	-2.66E+01	1.44E+00	0.163	0.077	0.984	1.24E+00	-0.6811			
242	1.79E+01	-2.66E+01	1.32E+00	0.204	0.092	0.975	1.14E+00	-0.3987			
243	1.85E+01	-2.66E+01	1.20E+00	0.222	0.098	0.97	9.66E-01	-0.1829			
244	1.89E+01	-2.66E+01	1.10E+00	0.226	0.099	0.969	7.34E-01	-0.0397			
245	1.92E+01	-2.66E+01	1.03E+00	0.24	0.103	0.965	4.60E-01	0.1188			
246	1.94E+01	-2.66E+01	9.87E-01	0.243	0.104	0.965	1.57E-01	0.221			
Strip 10											
247	1.88E+01	-2.47E+01	9.11E-01	-0.128	-0.072	-0.989	1.81E-01	0.287			
248	1.87E+01	-2.47E+01	9.31E-01	-0.109	-0.067	-0.992	5.32E-01	0.3537			
249	1.83E+01	-2.47E+01	9.43E-01	0.009	-0.032	-0.999	8.45E-01	0.3769			
250	1.79E+01	-2.47E+01	9.21E-01	0.073	-0.012	-0.997	1.12E+00	0.3374			
251	1.73E+01	-2.47E+01	8.65E-01	0.113	0.001	-0.994	1.33E+00	0.2902			
252	1.66E+01	-2.47E+01	7.85E-01	0.12	0.004	-0.993	1.46E+00	0.2457			
253	1.59E+01	-2.47E+01	7.06E-01	0.099	-0.005	-0.995	1.50E+00	0.2204			
254	1.52E+01	-2.47E+01	6.53E-01	0.049	-0.026	-0.998	1.45E+00	0.2407			
255	1.45E+01	-2.47E+01	6.39E-01	-0.012	-0.053	-0.999	1.32E+00	0.3231			
256	1.39E+01	-2.47E+01	6.63E-01	-0.072	-0.08	-0.994	1.12E+00	0.4597			
257	1.34E+01	-2.47E+01	7.12E-01	-0.141	-0.114	-0.984	8.58E-01	0.6411			
258	1.31E+01	-2.47E+01	7.81E-01	-0.284	-0.184	-0.941	5.59E-01	0.7623			
259	1.29E+01	-2.47E+01	8.62E-01	-0.653	-0.364	-0.664	2.68E-01	-0.1807			
260	1.29E+01	-2.47E+01	9.85E-01	-0.8	-0.4	0.447	4.07E-01	-3.5576			
261	1.31E+01	-2.47E+01	1.14E+00	-0.486	-0.226	0.844	6.28E-01	-3.1442			
262	1.34E+01	-2.47E+01	1.29E+00	-0.321	-0.14	0.937	9.04E-01	-2.1744			
263	1.39E+01	-2.47E+01	1.41E+00	-0.206	-0.083	0.975	1.14E+00	-1.7943			
264	1.45E+01	-2.47E+01	1.50E+00	-0.101	-0.033	0.994	1.33E+00	-1.5607			
265	1.52E+01	-2.47E+01	1.54E+00	0.003	0.013	1	1.44E+00	-1.3112			
266	1.59E+01	-2.47E+01	1.50E+00	0.097	0.052	0.994	1.50E+00	-1.0004			
267	1.66E+01	-2.47E+01	1.41E+00	0.163	0.077	0.984	1.47E+00	-0.6781			
268	1.73E+01	-2.47E+01	1.28E+00	0.204	0.092	0.975	1.35E+00	-0.3974			
269	1.79E+01	-2.47E+01	1.15E+00	0.222	0.098	0.97	1.15E+00	-0.1823			
270	1.83E+01	-2.47E+01	1.04E+00	0.226	0.099	0.969	8.71E-01	-0.0393			
271	1.87E+01	-2.47E+01	9.59E-01	0.24	0.103	0.965	5.46E-01	0.119			
272	1.88E+01	-2.47E+01	9.16E-01	0.243	0.104	0.965	1.86E-01	0.2211			
Strip 11											
273	1.82E+01	-2.26E+01	8.33E-01	-0.128	-0.072	-0.989	2.12E-01	0.288			
274	1.81E+01	-2.26E+01	8.55E-01	-0.109	-0.067	-0.992	6.22E-01	0.3547			
275	1.77E+01	-2.26E+01	8.68E-01	0.009	-0.032	-0.999	9.89E-01	0.3779			
276	1.72E+01	-2.26E+01	8.45E-01	0.073	-0.012	-0.997	1.31E+00	0.3382			
277	1.65E+01	-2.26E+01	7.83E-01	0.113	0.001	-0.994	1.55E+00	0.2901			
278	1.58E+01	-2.26E+01	6.97E-01	0.12	0.004	-0.993	1.70E+00	0.2444			
279	1.50E+01	-2.26E+01	6.11E-01	0.099	-0.005	-0.995	1.75E+00	0.2175			
280	1.42E+01	-2.26E+01	5.54E-01	0.049	-0.026	-0.998	1.69E+00	0.2357			
281	1.35E+01	-2.26E+01	5.39E-01	-0.012	-0.053	-0.999	1.54E+00	0.316			
282	1.29E+01	-2.26E+01	5.65E-01	-0.072	-0.08	-0.994	1.31E+00	0.4511			
283	1.23E+01	-2.26E+01	6.18E-01	-0.14	-0.114	-0.984	1.00E+00	0.6326			
284	1.20E+01	-2.26E+01	6.92E-01	-0.284	-0.184	-0.941	6.55E-01	0.7674			
285	1.18E+01	-2.26E+01	7.81E-01	-0.653	-0.364	-0.664	3.14E-01	-0.1055			
286	1.18E+01	-2.26E+01	9.14E-01	-0.801	-0.4	0.446	4.76E-01	-3.4019			
287	1.20E+01	-2.26E+01	1.08E+00	-0.486	-0.226	0.844	7.34E-01	-3.0549			
288	1.23E+01	-2.26E+01	1.24E+00	-0.321	-0.14	0.937	1.06E+00	-2.1264			
289	1.29E+01	-2.26E+01	1.38E+00	-0.206	-0.083	0.975	1.34E+00	-1.7627			
290	1.35E+01	-2.26E+01	1.48E+00	-0.101	-0.033	0.994	1.55E+00	-1.5384			
291	1.42E+01	-2.26E+01	1.51E+00	0.003	0.013	1	1.69E+00	-1.2955			
292	1.50E+01	-2.26E+01	1.47E+00	0.097	0.052	0.994	1.75E+00	-0.9898			
293	1.58E+01	-2.26E+01	1.37E+00	0.163	0.077	0.984	1.72E+00	-0.6716			
294	1.65E+01	-2.26E+01	1.23E+00	0.204	0.092	0.975	1.58E+00	-0.3935			
295	1.72E+01	-2.26E+01	1.09E+00	0.222	0.098	0.97	1.34E+00	-0.18			
296	1.77E+01	-2.26E+01	9.73E-01	0.226	0.099	0.969	1.02E+00	-0.0381			
297	1.81E+01	-2.26E+01	8.86E-01	0.24	0.103	0.965	6.39E-01	0.1195			
298	1.82E+01	-2.26E+01	8.39E-01	0.243	0.104	0.965	2.17E-01	0.2212			
Strip 12											
299	1.76E+01	-2.03E+01	7.50E-01	-0.128	-0.072	-0.989	2.45E-01	0.2885			
300	1.74E+01	-2.03E+01	7.74E-01	-0.109	-0.067	-0.992	7.19E-01	0.3552			
301	1.70E+01	-2.03E+01	7.88E-01	0.009	-0.032	-0.999	1.14E+00	0.3782			
302	1.64E+01	-2.03E+01	7.63E-01	0.073	-0.012	-0.997	1.51E+00	0.3379			
303	1.57E+01	-2.03E+01	6.96E-01	0.113	0.001	-0.994	1.79E+00	0.2889			
304	1.49E+01	-2.03E+01	6.03E-01	0.12	0.004	-0.993	1.97E+00	0.2415			
305	1.41E+01	-2.03E+01	5.10E-01	0.099	-0.005	-0.995	2.02E+00	0.2124			
306	1.33E+01	-2.03E+01	4.47E-01	0.049	-0.026	-0.998	1.96E+00	0.2282			
307	1.25E+01	-2.03E+01	4.32E-01	-0.012	-0.053	-0.999	1.78E+00	0.3063			
308	1.18E+01	-2.03E+01	4.60E-01	-0.072	-0.08	-0.994	1.51E+00	0.4396			
309	1.12E+01	-2.03E+01	5.17E-01	-0.14	-0.114	-0.984	1.16E+00	0.6213			
310	1.08E+01	-2.03E+01	5.98E-01	-0.284	-0.184	-0.941	7.56E-01	0.7718			
311	1.06E+01	-2.03E+01	6.93E-01	-0.653	-0.364	-0.665	3.63E-01	-0.0193			
312	1.06E+01	-2.03E+01	8.38E-01	-0.801	-0.4	0.445	5.50E-01	-3.2166			
313	1.08E+01	-2.03E+01	1.02E+00	-0.487	-0.226	0.844	8.47E-01	-2.9466			
314	1.12E+01	-2.03E+01	1.19E+00	-0.321	-0.14	0.937	1.22E+00	-2.0673			
315	1.18E+01	-2.03E+01	1.34E+00	-0.207	-0.083	0.975	1.55E+00	-1.7232			
316	1.25E+01	-2.03E+01	1.45E+00	-0.101	-0.033	0.994	1.79E+00	-1.5098			
317	1.33E+01	-2.03E+01	1.49E+00	0.003	0.013	1	1.95E+00	-1.2748			
318	1.41E+01	-2.03E+01	1.44E+00	0.097	0.052	0.994	2.02E+00	-0.9757			
319	1.49E+01	-2.03E+01	1.33E+00	0.163	0.077	0.984	1.98E+00	-0.6624			
320	1.57E+01	-2.03E+01	1.18E+00	0.204	0.092	0.975	1.82E+00	-0.3878			
321	1.64E+01	-2.03E+01	1.03E+00	0.222	0.098	0.97	1.55E+00	-0.1767			
322	1.70E+01	-2.03E+01	9.02E-01	0.226	0.099	0.969	1.18E+00	-0.0363			
323	1.74E+01	-2.03E+01	8.07E-01	0.24	0.103	0.965	7.38E-01	0.1202			
324	1.76E+01	-2.03E+01	7.57E-01	0.243	0.104	0.965	2.51E-01	0.2212			
Strip 13											
325	1.69E+01	-1.79E+01	6.62E-01	-0.128	-0.072	-0.989	2.80E-01	0.2887			
326	1.67E+01	-1.79E+01	6.88E-01	-0.109	-0.067	-0.992	8.20E-01	0.3554			
327	1.63E+01	-1.79E+01	7.03E-01	0.009	-0.032	-0.999	1.30E+00	0.378			
328	1.57E+01	-1.79E+01	6.76E-01	0.073	-0.012	-0.997	1.72E+00	0.337			
329	1.49E+01	-1.79E+01	6.04E-01	0.113	0.001	-0.994	2.05E+00	0.2868			
330	1.41E+01	-1.79E+01	5.03E-01	0.12	0.004	-0.993	2.25E+00	0.2375			
331	1.31E+01	-1.79E+01	4.02E-01	0.099	-0.005	-0.995	2.31E+00	0.2058			
332	1.22E+01	-1.79E+01	3.35E-01	0.049	-0.026	-0.998	2.23E+00	0.2187			
333	1.14E+01	-1.79E+01	3.18E-01	-0.012	-0.053	-0.999	2.04E+00	0.2943			
334	1.06E+01	-1.79E+01	3.48E-01	-0.072	-0.08	-0.994	1.73E+00	0.4256			
335	1.00E+01	-1.79E+01	4.10E-01	-0.14	-0.114	-0.984	1.33E+00	0.6071			
336	9.57E+00	-1.79E+01	4.97E-01	-0.284	-0.184	-0.941	8.64E-01	0.7747			
337	9.35E+00	-1.79E+01	6.01E-01	-0.652	-0.364	-0.665	4.14E-01	0.0744			
338	9.35E+00	-1.79E+01	7.57E-01	-0.801	-0.401	0.444	6.28E-01	-3.0066			
339	9.57E+00	-1.79E+01	9.53E-01	-0.487	-0.226	0.844	9.67E-01	-2.8219			
340	1.00E+01	-1.79E+01	1.14E+00	-0.321	-0.14	0.937	1.39E+00	-1.9988			
341	1.06E+01	-1.79E+01	1.30E+00	-0.207	-0.083	0.975	1.76E+00	-1.6768			
342	1.14E+01	-1.79E+01	1.42E+00	-0.101	-0.033	0.994	2.04E+00	-1.4761			
343	1.22E+01	-1.79E+01	1.46E+00	0.003	0.013	1	2.23E+00	-1.2502			
344	1.31E+01	-1.79E+01	1.41E+00	0.097	0.052	0.994	2.31E+00	-0.9586			
345	1.41E+01	-1.79E+01	1.29E+00	0.163	0.077	0.984	2.26E+00	-0.6512			
346	1.49E+01	-1.79E+01	1.13E+00	0.204	0.092	0.975	2.08E+00	-0.3808			
347	1.57E+01	-1.79E+01	9.66E-01	0.222	0.098	0.97	1.77E+00	-0.1726			
348	1.63E+01	-1.79E+01	8.26E-01	0.226	0.099	0.969	1.34E+00	-0.034			
349	1.67E+01	-1.79E+01	7.24E-01	0.24	0.103	0.965	8.42E-01	0.1209			
350	1.69E+01	-1.79E+01	6.69E-01	0.243	0.104	0.965	2.87E-01	0.221			
Strip 14											
351	1.62E+01	-1.53E+01	5.70E-01	-0.128	-0.072	-0.989	3.16E-01	0.2888			
352	1.60E+01	-1.53E+01	5.97E-01	-0.109	-0.067	-0.992	9.26E-01	0.3553			
353	1.55E+01	-1.53E+01	6.14E-01	0.009	-0.032	-0.999	1.47E+00	0.3775			
354	1.48E+01	-1.53E+01	5.84E-01	0.073	-0.012	-0.997	1.94E+00	0.3356			
355	1.40E+01	-1.53E+01	5.07E-01	0.113	0.001	-0.994	2.31E+00	0.284			
356	1.31E+01	-1.53E+01	3.98E-01	0.12	0.004	-0.993	2.53E+00	0.2325			
357	1.21E+01	-1.53E+01	2.89E-01	0.099	-0.005	-0.995	2.60E+00	0.1979			
358	1.11E+01	-1.53E+01	2.16E-01	0.049	-0.026	-0.998	2.52E+00	0.2075			
359	1.02E+01	-1.53E+01	1.98E-01	-0.012	-0.053	-0.999	2.30E+00	0.2801			
360	9.39E+00	-1.53E+01	2.30E-01	-0.072	-0.08	-0.994	1.95E+00	0.4089			
361	8.74E+00	-1.53E+01	2.98E-01	-0.14	-0.114	-0.984	1.50E+00	0.5899			
362	8.27E+00	-1.53E+01	3.91E-01	-0.284	-0.184	-0.941	9.75E-01	0.7751			
363	8.04E+00	-1.53E+01	5.03E-01	-0.652	-0.364	-0.665	4.68E-01	0.1736			
364	8.04E+00	-1.53E+01	6.72E-01	-0.802	-0.401	0.444	7.08E-01	-2.7742			
365	8.27E+00	-1.53E+01	8.83E-01	-0.487	-0.226	0.844	1.09E+00	-2.6816			
366	8.74E+00	-1.53E+01	1.08E+00	-0.321	-0.14	0.937	1.57E+00	-1.921			
367	9.39E+00	-1.53E+01	1.26E+00	-0.207	-0.083	0.975	1.99E+00	-1.624			
368	1.02E+01	-1.53E+01	1.38E+00	-0.101	-0.033	0.994	2.31E+00	-1.4374			
369	1.11E+01	-1.53E+01	1.43E+00	0.003	0.013	1	2.51E+00	-1.2219			
370	1.21E+01	-1.53E+01	1.38E+00	0.097	0.052	0.994	2.60E+00	-0.9389			
371	1.31E+01	-1.53E+01	1.25E+00	0.163	0.077	0.984	2.55E+00	-0.6384			
372	1.40E+01	-1.53E+01	1.08E+00	0.204	0.092	0.975	2.35E+00	-0.3728			
373	1.48E+01	-1.53E+01	8.98E-01	0.222	0.098	0.97	2.00E+00	-0.1679			
374	1.55E+01	-1.53E+01	7.46E-01	0.226	0.099	0.969	1.52E+00	-0.0314			
375	1.60E+01	-1.53E+01	6.36E-01	0.24	0.103	0.965	9.51E-01	0.1217			
376	1.62E+01	-1.53E+01	5.77E-01	0.243	0.104	0.965	3.23E-01	0.2209			
Strip 15											
377	1.55E+01	-1.27E+01	4.74E-01	-0.128	-0.072	-0.989	3.52E-01	0.2886			
378	1.52E+01	-1.27E+01	5.03E-01	-0.109	-0.067	-0.992	1.03E+00	0.3551			
379	1.47E+01	-1.27E+01	5.21E-01	0.009	-0.032	-0.999	1.64E+00	0.3768			
380	1.40E+01	-1.27E+01	4.89E-01	0.073	-0.012	-0.997	2.17E+00	0.3339			
381	1.31E+01	-1.27E+01	4.06E-01	0.113	0.001	-0.994	2.58E+00	0.2806			
382	1.21E+01	-1.27E+01	2.88E-01	0.12	0.004	-0.993	2.83E+00	0.2266			
383	1.11E+01	-1.27E+01	1.72E-01	0.099	-0.005	-0.995	2.91E+00	0.1887			
384	1.00E+01	-1.27E+01	9.27E-02	0.049	-0.026	-0.998	2.81E+00	0.1946			
385	9.00E+00	-1.27E+01	7.33E-02	-0.012	-0.053	-0.999	2.56E+00	0.2637			
386	8.13E+00	-1.27E+01	1.08E-01	-0.072	-0.08	-0.994	2.18E+00	0.3895			
387	7.42E+00	-1.27E+01	1.81E-01	-0.14	-0.114	-0.984	1.67E+00	0.5693			
388	6.92E+00	-1.27E+01	2.82E-01	-0.284	-0.184	-0.941	1.09E+00	0.7721			
389	6.67E+00	-1.27E+01	4.02E-01	-0.652	-0.363	-0.666	5.22E-01	0.277			
390	6.67E+00	-1.27E+01	5.83E-01	-0.802	-0.401	0.443	7.90E-01	-2.5183			
391	6.92E+00	-1.27E+01	8.11E-01	-0.487	-0.226	0.843	1.22E+00	-2.5242			
392	7.42E+00	-1.27E+01	1.03E+00	-0.321	-0.14	0.937	1.75E+00	-1.8334			
393	8.13E+00	-1.27E+01	1.22E+00	-0.207	-0.083	0.975	2.22E+00	-1.5645			
394	9.00E+00	-1.27E+01	1.35E+00	-0.101	-0.033	0.994	2.57E+00	-1.3939			
395	1.00E+01	-1.27E+01	1.40E+00	0.003	0.013	1	2.81E+00	-1.1903			
396	1.11E+01	-1.27E+01	1.34E+00	0.097	0.052	0.994	2.91E+00	-0.9171			
397	1.21E+01	-1.27E+01	1.20E+00	0.163	0.077	0.984	2.85E+00	-0.6242			
398	1.31E+01	-1.27E+01	1.02E+00	0.204	0.092	0.975	2.62E+00	-0.3642			
399	1.40E+01	-1.27E+01	8.27E-01	0.222	0.098	0.97	2.23E+00	-0.163			
400	1.47E+01	-1.27E+01	6.63E-01	0.226	0.099	0.969	1.69E+00	-0.0289			
401	1.52E+01	-1.27E+01	5.45E-01	0.24	0.103	0.965	1.06E+00	0.1223			
402	1.55E+01	-1.27E+01	4.82E-01	0.242	0.104	0.965	3.61E-01	0.2203			
Strip 16											
403	1.47E+01	-9.96E+00	3.74E-01	-0.128	-0.072	-0.989	3.89E-01	0.2882			
404	1.44E+01	-9.96E+00	4.06E-01	-0.109	-0.067	-0.992	1.14E+00	0.3547			
405	1.39E+01	-9.96E+00	4.25E-01	0.009	-0.032	-0.999	1.81E+00	0.3758			
406	1.31E+01	-9.96E+00	3.91E-01	0.073	-0.012	-0.997	2.40E+00	0.3319			
407	1.22E+01	-9.96E+00	3.01E-01	0.113	0.001	-0.994	2.84E+00	0.2769			
408	1.11E+01	-9.96E+00	1.75E-01	0.12	0.004	-0.993	3.12E+00	0.22			
409	9.97E+00	-9.96E+00	4.99E-02	0.099	-0.005	-0.995	3.21E+00	0.1783			
410	8.83E+00	-9.96E+00	-3.47E-02	0.049	-0.026	-0.998	3.10E+00	0.18			
411	7.76E+00	-9.96E+00	-5.56E-02	-0.012	-0.053	-0.999	2.83E+00	0.2449			
412	6.82E+00	-9.96E+00	-1.81E-02	-0.072	-0.08	-0.994	2.40E+00	0.3669			
413	6.06E+00	-9.96E+00	5.97E-02	-0.14	-0.114	-0.984	1.84E+00	0.5444			
414	5.53E+00	-9.96E+00	1.68E-01	-0.284	-0.184	-0.941	1.20E+00	0.7644			
415	5.25E+00	-9.96E+00	2.97E-01	-0.652	-0.363	-0.666	5.77E-01	0.3842			
416	5.25E+00	-9.96E+00	4.92E-01	-0.802	-0.401	0.443	8.72E-01	-2.2339			
417	5.53E+00	-9.96E+00	7.36E-01	-0.487	-0.226	0.843	1.34E+00	-2.3455			
418	6.06E+00	-9.96E+00	9.67E-01	-0.321	-0.14	0.937	1.94E+00	-1.7332			
419	6.82E+00	-9.96E+00	1.17E+00	-0.207	-0.083	0.975	2.45E+00	-1.4965			
420	7.76E+00	-9.96E+00	1.31E+00	-0.101	-0.033	0.994	2.84E+00	-1.3448			
421	8.83E+00	-9.96E+00	1.37E+00	0.003	0.013	1	3.10E+00	-1.1553			
422	9.97E+00	-9.96E+00	1.31E+00	0.097	0.052	0.994	3.21E+00	-0.8936			
423	1.11E+01	-9.96E+00	1.16E+00	0.163	0.077	0.984	3.15E+00	-0.6097			
424	1.22E+01	-9.96E+00	9.58E-01	0.204	0.092	0.975	2.90E+00	-0.3557			
425	1.31E+01	-9.96E+00	7.53E-01	0.222	0.098	0.97	2.46E+00	-0.1583			
426	1.39E+01	-9.96E+00	5.78E-01	0.226	0.099	0.969	1.87E+00	-0.0267			
427	1.44E+01	-9.96E+00	4.51E-01	0.239	0.103	0.965	1.17E+00	0.1224			
428	1.47E+01	-9.96E+00	3.83E-01	0.242	0.104	0.965	3.99E-01	0.2193			
Strip 17											
429	1.39E+01	-7.16E+00	2.72E-01	-0.128	-0.072	-0.989	4.25E-01	0.2875			
430	1.36E+01	-7.16E+00	3.06E-01	-0.109	-0.067	-0.992	1.25E+00	0.354			
431	1.30E+01	-7.16E+00	3.27E-01	0.009	-0.032	-0.999	1.98E+00	0.3748			
432	1.22E+01	-7.16E+00	2.90E-01	0.073	-0.012	-0.997	2.62E+00	0.3298			
433	1.12E+01	-7.16E+00	1.94E-01	0.113	0.001	-0.994	3.11E+00	0.2727			
434	1.01E+01	-7.16E+00	5.94E-02	0.121	0.004	-0.993	3.41E+00	0.2128			
435	8.85E+00	-7.16E+00	-7.47E-02	0.099	-0.005	-0.995	3.51E+00	0.1669			
436	7.63E+00	-7.17E+00	-1.65E-01	0.049	-0.026	-0.998	3.39E+00	0.1638			
437	6.48E+00	-7.17E+00	-1.88E-01	-0.012	-0.053	-0.999	3.09E+00	0.2238			
438	5.48E+00	-7.16E+00	-1.48E-01	-0.072	-0.08	-0.994	2.63E+00	0.3409			
439	4.66E+00	-7.16E+00	-6.43E-02	-0.14	-0.114	-0.984	2.01E+00	0.5141			
440	4.10E+00	-7.16E+00	5.16E-02	-0.284	-0.184	-0.941	1.31E+00	0.7498			
441	3.80E+00	-7.16E+00	1.90E-01	-0.651	-0.363	-0.666	6.30E-01	0.4961			
442	3.80E+00	-7.16E+00	3.98E-01	-0.802	-0.401	0.442	9.53E-01	-1.9086			
443	4.10E+00	-7.16E+00	6.60E-01	-0.487	-0.226	0.843	1.47E+00	-2.1339			
444	4.66E+00	-7.16E+00	9.07E-01	-0.321	-0.14	0.937	2.12E+00	-1.6134			
445	5.48E+00	-7.16E+00	1.13E+00	-0.207	-0.083	0.975	2.68E+00	-1.4157			
446	6.48E+00	-7.16E+00	1.28E+00	-0.101	-0.033	0.994	3.10E+00	-1.2881			
447	7.63E+00	-7.16E+00	1.33E+00	0.003	0.013	1	3.38E+00	-1.1171			
448	8.85E+00	-7.16E+00	1.27E+00	0.097	0.052	0.994	3.51E+00	-0.8702			
449	1.01E+01	-7.16E+00	1.11E+00	0.163	0.077	0.984	3.44E+00	-0.5967			
450	1.12E+01	-7.16E+00	8.97E-01	0.204	0.092	0.975	3.17E+00	-0.3493			
451	1.22E+01	-7.16E+00	6.78E-01	0.222	0.098	0.97	2.69E+00	-0.1556			
452	1.30E+01	-7.16E+00	4.90E-01	0.226	0.099	0.969	2.04E+00	-0.0261			
453	1.36E+01	-7.16E+00	3.54E-01	0.239	0.103	0.965	1.28E+00	0.1214			
454	1.39E+01	-7.16E+00	2.81E-01	0.242	0.104	0.965	4.36E-01	0.2174			
Strip 18											
455	1.31E+01	-4.32E+00	1.69E-01	-0.128	-0.072	-0.989	4.59E-01	0.2863			
456	1.28E+01	-4.32E+00	2.05E-01	-0.109	-0.067	-0.992	1.35E+00	0.3531			
457	1.22E+01	-4.32E+00	2.27E-01	0.009	-0.032	-0.999	2.14E+00	0.3735			
458	1.13E+01	-4.32E+00	1.87E-01	0.073	-0.012	-0.997	2.83E+00	0.3272			
459	1.02E+01	-4.32E+00	8.51E-02	0.113	0.001	-0.994	3.36E+00	0.268			
460	9.00E+00	-4.32E+00	-5.85E-02	0.121	0.004	-0.993	3.69E+00	0.2049			
461	7.71E+00	-4.32E+00	-2.02E-01	0.099	-0.005	-0.995	3.79E+00	0.1549			
462	6.41E+00	-4.32E+00	-2.98E-01	0.049	-0.026	-0.998	3.67E+00	0.1472			
463	5.19E+00	-4.32E+00	-3.22E-01	-0.012	-0.053	-0.999	3.34E+00	0.202			
464	4.11E+00	-4.32E+00	-2.79E-01	-0.072	-0.08	-0.994	2.84E+00	0.3128			
465	3.25E+00	-4.32E+00	-1.90E-01	-0.14	-0.114	-0.984	2.18E+00	0.4787			
466	2.64E+00	-4.32E+00	-6.68E-02	-0.283	-0.184	-0.941	1.42E+00	0.7268			
467	2.33E+00	-4.32E+00	8.09E-02	-0.651	-0.363	-0.666	6.82E-01	0.6182			
468	2.33E+00	-4.32E+00	3.03E-01	-0.802	-0.401	0.442	1.03E+00	-1.5125			
469	2.64E+00	-4.32E+00	5.82E-01	-0.488	-0.226	0.843	1.59E+00	-1.8614			
470	3.25E+00	-4.32E+00	8.45E-01	-0.321	-0.14	0.937	2.29E+00	-1.4549			
471	4.11E+00	-4.32E+00	1.08E+00	-0.207	-0.083	0.975	2.90E+00	-1.3101			
472	5.19E+00	-4.32E+00	1.24E+00	-0.101	-0.033	0.994	3.36E+00	-1.2181			
473	6.41E+00	-4.32E+00	1.30E+00	0.003	0.013	1	3.66E+00	-1.0758			
474	7.71E+00	-4.32E+00	1.23E+00	0.097	0.052	0.994	3.79E+00	-0.8514			
475	9.00E+00	-4.32E+00	1.06E+00	0.163	0.077	0.984	3.72E+00	-0.592			
476	1.02E+01	-4.32E+00	8.35E-01	0.204	0.092	0.975	3.42E+00	-0.3511			
477	1.13E+01	-4.32E+00	6.01E-01	0.222	0.098	0.97	2.91E+00	-0.1591			
478	1.22E+01	-4.32E+00	4.01E-01	0.226	0.099	0.969	2.21E+00	-0.0296			
479	1.28E+01	-4.32E+00	2.56E-01	0.239	0.103	0.965	1.39E+00	0.1179			
